method,kmax,max_train,accuracy,train_time,eval_time,f1_World,f1_Sports,f1_Business,f1_Sci/Tech
ppm,2,5000,0.8577631578947369,7.994766712188721,37.64207911491394,0.870507399577167,0.9202072538860104,0.8108561835478455,0.8272225012556503
ppm,3,5000,0.8735526315789474,11.022601127624512,31.999463319778442,0.87790542345712,0.9418848167539268,0.8257887517146778,0.8476953907815632
ppm,4,5000,0.875,27.31151819229126,23.73112726211548,0.8762666666666667,0.9454068241469816,0.8269441401971521,0.8505516549648947
ppm,5,5000,0.873421052631579,14.632734775543213,27.39231514930725,0.8755319148936169,0.9494367304165575,0.8258241758241758,0.8420788350489581
ppm,6,5000,0.8751315789473684,16.02528715133667,23.43683934211731,0.8811933937133724,0.9474509803921569,0.8268493150684931,0.8441198690506171
ppm,5,500,0.7917105263157894,1.1915078163146973,23.741743087768555,0.7976159626846333,0.8838231255149684,0.734658599827139,0.7538425159612201
ppm,5,1000,0.8251315789473684,2.3136918544769287,22.699065685272217,0.831693423096841,0.9184549356223175,0.755137991779213,0.7930542340627973
ppm,5,2000,0.8515789473684211,4.765627861022949,27.3454110622406,0.857367593078133,0.9304926764314247,0.7970563260684971,0.8208882381649586
ppm,5,10000,0.8894736842105263,36.61970257759094,36.22713541984558,0.8862973760932944,0.9590766002098635,0.8490153172866521,0.8628441525637788
ppm,5,30000,0.9111842105263158,138.6023726463318,23.52816915512085,0.9080675422138837,0.9696340513885283,0.8757016840417001,0.8903225806451613
lzw,-,500,0.7543421052631579,0.05313444137573242,0.7078826427459717,0.758140691026597,0.8302521008403362,0.7126309983452841,0.7204220045214771
lzw,-,1000,0.7914473684210527,0.14036345481872559,0.7977809906005859,0.79635719706552,0.8727173616789315,0.7326007326007326,0.7644576818069
lzw,-,5000,0.8423684210526315,0.8607232570648193,1.015737771987915,0.850131926121372,0.9227931488801053,0.7930853850183343,0.8037924677376876
lzw,-,10000,0.8557894736842105,2.4584860801696777,1.1611404418945312,0.8585725572820647,0.9368944749934538,0.8120221460585288,0.8150883671854392
lzw,-,30000,0.8776315789473684,8.370505094528198,1.3678746223449707,0.8766417718259079,0.9507427677873339,0.839356370350831,0.8419625914882081
